run_id,experiment_id,system,variant,workload,array_size,weight_mode,reorder_program,implementation_mode,target_mhz,status,validation_pass,tiles,first_output_cycles,completion_cycles,cycles_per_tile,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason,source
spmw_gemm128_N16_resident_general,E4,SPMW port,feather_stream_x (weights and commands resident),"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials; every tile's activations through tile 0's resident weights (datapath throughput, not the workload's result)",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (131072/131072 tokens, 0 errors)",512,164,8340,16.0,,,,,,,,,,57.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N16_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N16_resident_general; run dir /scratch/hc676/e4b_spmw/wl_gemm_N16_x,,this agent (e4b_* dirs)
rtl_fixed_gemm128_N16_resident_general,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials; one feed, then every tile's activations through tile 0's resident weights (MODE 1; datapath throughput, not the workload's result)",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,512/512 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,512,4141,12317,16.0,,,,,,,,,,17.4,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N16_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N16_resident_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N16_m1,,this agent (e4b_* dirs)
spmw_conv_N4_stream_general,E4,SPMW port,feather_stream (every operand streamed),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",cosim,300,pass,"SPMW COSIM PASS (3145728/3145728 tokens, 0 errors); host reduction vs numpy: pass (0 bad elements)",196608,50,1572902,8.0,,,,,,,,,,224.2,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N4_stream_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N4_stream_general; run dir /scratch/hc676/e4b_spmw/wl_conv_N4_stream,,this agent (e4b_* dirs)
rtl_fixed_conv_N4_feed_general,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks; a weight feed per tile (MODE 0)",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",rtl_sim,300,pass,196608/196608 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,196608,81,12582929,64.0,,,,,,,,,,543.2,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N4_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N4_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_conv_N4_m0,,this agent (e4b_* dirs)
spmw_conv_N4_resident_general,E4,SPMW port,feather_stream_x (weights and commands resident),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks; every tile's activations through tile 0's resident weights and program",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",cosim,300,pass,"SPMW COSIM PASS (3145728/3145728 tokens, 0 errors)",196608,50,786478,4.0,,,,,,,,,,119.0,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N4_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N4_resident_general; run dir /scratch/hc676/e4b_spmw/wl_conv_N4_x,,this agent (e4b_* dirs)
rtl_fixed_conv_N4_resident_general,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 12, tile = [4 taps x 4 channels] x 4 out-channels), 196608 tiles, host accumulates over channel and tap blocks; one feed, then every tile's activations and programs through tile 0's resident weights (MODE 1)",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' four conv programs (examples/feather/convolution.py), program (p*Q+q) mod 4 per tile",rtl_sim,300,pass,196608/196608 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,196608,81,786509,4.0,,,,,,,,,,129.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N4_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N4_resident_general; run dir /scratch/hc676/e4b_rtl_runs/wl_conv_N4_m1,,this agent (e4b_* dirs)
spmw_conv_N8_stream_general,E4,SPMW port,feather_stream (every operand streamed),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [8 taps x 8 channels] x 8 out-channels), 32768 tiles, host accumulates over channel and tap blocks",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=8 found by e4_feather_gen.find_reduce_program (all 8 column sums into column (p*Q+q) mod 8), verified vs feather_ref and the RTL model",cosim,300,pass,"SPMW COSIM PASS (2097152/2097152 tokens, 0 errors); host reduction vs numpy: pass (0 bad elements)",32768,132,524396,16.0,,,,,,,,,143.8,1082.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N8_stream_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N8_stream_general; run dir /scratch/hc676/e4b_spmw/wl_conv_N8_stream,,this agent (e4b_* dirs)
rtl_fixed_conv_N8_feed_general,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [8 taps x 8 channels] x 8 out-channels), 32768 tiles, host accumulates over channel and tap blocks; a weight feed per tile (MODE 0)",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=8 found by e4_feather_gen.find_reduce_program (all 8 column sums into column (p*Q+q) mod 8), verified vs feather_ref and the RTL model",rtl_sim,300,pass,32768/32768 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,32768,539,16777243,512.0,,,,,,,,,,2382.9,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N8_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N8_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_conv_N8_m0,,this agent (e4b_* dirs)
spmw_conv_N8_resident_general,E4,SPMW port,feather_stream_x (weights and commands resident),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [8 taps x 8 channels] x 8 out-channels), 32768 tiles, host accumulates over channel and tap blocks; every tile's activations through tile 0's resident weights and program",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=8 found by e4_feather_gen.find_reduce_program (all 8 column sums into column (p*Q+q) mod 8), verified vs feather_ref and the RTL model",cosim,300,pass,"SPMW COSIM PASS (2097152/2097152 tokens, 0 errors)",32768,96,262232,8.0,,,,,,,,,149.0,928.9,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N8_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N8_resident_general; run dir /scratch/hc676/e4b_spmw/wl_conv_N8_x,,this agent (e4b_* dirs)
rtl_fixed_conv_N8_resident_general,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [8 taps x 8 channels] x 8 out-channels), 32768 tiles, host accumulates over channel and tap blocks; one feed, then every tile's activations and programs through tile 0's resident weights (MODE 1)",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=8 found by e4_feather_gen.find_reduce_program (all 8 column sums into column (p*Q+q) mod 8), verified vs feather_ref and the RTL model",rtl_sim,300,pass,32768/32768 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,32768,539,262675,8.0,,,,,,,,,,104.7,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N8_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N8_resident_general; run dir /scratch/hc676/e4b_rtl_runs/wl_conv_N8_m1,,this agent (e4b_* dirs)
spmw_conv_N16_stream_general,E4,SPMW port,feather_stream (every operand streamed),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [16 taps x 16 channels] x 16 out-channels), 4096 tiles, host accumulates over channel and tap blocks",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=16 found by e4_feather_gen.find_reduce_program (all 16 column sums into column (p*Q+q) mod 16), verified vs feather_ref and the RTL model",cosim,300,pass,"SPMW COSIM PASS (1048576/1048576 tokens, 0 errors); host reduction vs numpy: pass (0 bad elements)",4096,384,131408,32.0,,,,,,,,,134.7,1175.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N16_stream_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N16_stream_general; run dir /scratch/hc676/e4b_spmw/wl_conv_N16_stream,,this agent (e4b_* dirs)
rtl_fixed_conv_N16_feed_general,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [16 taps x 16 channels] x 16 out-channels), 4096 tiles, host accumulates over channel and tap blocks; a weight feed per tile (MODE 0)",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=16 found by e4_feather_gen.find_reduce_program (all 16 column sums into column (p*Q+q) mod 16), verified vs feather_ref and the RTL model",rtl_sim,300,pass,4096/4096 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,4096,4141,16777261,4096.0,,,,,,,,,,9142.9,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N16_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N16_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_conv_N16_m0,,this agent (e4b_* dirs)
spmw_conv_N16_resident_general,E4,SPMW port,feather_stream_x (weights and commands resident),"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [16 taps x 16 channels] x 16 out-channels), 4096 tiles, host accumulates over channel and tap blocks; every tile's activations through tile 0's resident weights and program",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=16 found by e4_feather_gen.find_reduce_program (all 16 column sums into column (p*Q+q) mod 16), verified vs feather_ref and the RTL model",cosim,300,pass,"SPMW COSIM PASS (1048576/1048576 tokens, 0 errors)",4096,164,65684,16.0,,,,,,,,,141.7,987.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_conv_N16_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_conv_N16_resident_general; run dir /scratch/hc676/e4b_spmw/wl_conv_N16_x,,this agent (e4b_* dirs)
rtl_fixed_conv_N16_resident_general,E4,FEATHER RTL,corrected controller,"conv 16x16x64 -> 64ch 3x3 s1 p1 NHWC int8, drivers' tiling (RS 9 padded to 16, tile = [16 taps x 16 channels] x 16 out-channels), 4096 tiles, host accumulates over channel and tap blocks; one feed, then every tile's activations and programs through tile 0's resident weights (MODE 1)",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","conv reduce programs for AW=16 found by e4_feather_gen.find_reduce_program (all 16 column sums into column (p*Q+q) mod 16), verified vs feather_ref and the RTL model",rtl_sim,300,pass,4096/4096 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,4096,4141,69661,16.0,,,,,,,,,,118.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_conv_N16_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_conv_N16_resident_general; run dir /scratch/hc676/e4b_rtl_runs/wl_conv_N16_m1,,this agent (e4b_* dirs)
rtl_fixed_N4_tiles_mixed_sign_demo,E4,FEATHER RTL,corrected controller,"4 single tiles back to back, weights resident (MODE 1): stored bytes 0..255 with zero points 128/128, i.e. differences in [-128, 127]",4x4,mixed-sign differences (u - zp < 0 for u < zp): outside the RTL's unsigned datapath,"drivers' GEMM layout program for AW=4 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4/4 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=False,4,81,93,4.0,,,,,,,,,,7.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_N4_tiles_mixed_sign_demo; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_N4_tiles_mixed_sign_demo; run dir /scratch/hc676/e4b_rtl_runs/demo_mixed_N4,,this agent (e4b_* dirs)
rtl_fixed_N8_tiles_mixed_sign_demo,E4,FEATHER RTL,corrected controller,"4 single tiles back to back, weights resident (MODE 1): stored bytes 0..255 with zero points 128/128, i.e. differences in [-128, 127]",8x8,mixed-sign differences (u - zp < 0 for u < zp): outside the RTL's unsigned datapath,"drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4/4 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=False,4,539,563,8.0,,,,,,,,,,7.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_N8_tiles_mixed_sign_demo; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_N8_tiles_mixed_sign_demo; run dir /scratch/hc676/e4b_rtl_runs/demo_mixed_N8,,this agent (e4b_* dirs)
rtl_fixed_N16_tiles_mixed_sign_demo,E4,FEATHER RTL,corrected controller,"4 single tiles back to back, weights resident (MODE 1): stored bytes 0..255 with zero points 128/128, i.e. differences in [-128, 127]",16x16,mixed-sign differences (u - zp < 0 for u < zp): outside the RTL's unsigned datapath,"drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4/4 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=False,4,4141,4189,16.0,,,,,,,,,,10.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_N16_tiles_mixed_sign_demo; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_N16_tiles_mixed_sign_demo; run dir /scratch/hc676/e4b_rtl_runs/demo_mixed_N16,,this agent (e4b_* dirs)
rtl_orig_gemm128_N4_feed_general,E4,FEATHER RTL,shipped controller,"gemm M=N=K=128 int8, drivers' tiling Mt=2 Kt=8 Nt=4 (loop n,m,k), 32768 tiles, host accumulates the K partials; a weight feed per tile (MODE 0)",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=4 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,fail,0/32768 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,32768,,,,,,,,,,,,,135.3,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_orig_gemm128_N4_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_orig_gemm128_N4_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N4_m0_orig,0/32768 tiles match the model; 524276 bad elements; host_check=None; first bad tile 0,this agent (e4b_* dirs)
