trial,model,arm,build,tokens,model_seconds,tool_seconds,verdict,stages
deepseek_deepseek-v4-pro__rtl,deepseek/deepseek-v4-pro,rtl,4,376293,413.9,9.4,STUDY RESULT   WRONG,"{""elaborate"": 1788830579.15, ""simulate"": 1788830584.21}"
deepseek_deepseek-v4-pro__spmw,deepseek/deepseek-v4-pro,spmw,1,37292,404.3,1.3,STUDY BUILD FAIL elaborate,"{""import"": 0.0, ""elaborate"": 0.0}"
deepseek_deepseek-v4-pro__spmw,deepseek/deepseek-v4-pro,spmw,2,49995,24.6,124.7,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.32, ""synthesise"": 83.8, ""assemble"": 23.58, ""wrap"": 0.0, ""compile"": 3.45, ""elaborate_rtl"": 6.34, ""simulate"": 5.08}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,1,29073,319.4,4.6,STUDY BUILD FAIL synthesis,"{""synthesise"": 1788839592.58}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,2,59755,316.3,106.1,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788839996.58, ""compile"": 1788840000.41, ""elaborate"": 1788840009.26, ""simulate"": 1788840014.96}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,3,109851,327.7,4.7,STUDY BUILD FAIL synthesis,"{""synthesise"": 1788840347.32}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,4,141973,44.1,108.9,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788840482.16, ""compile"": 1788840485.95, ""elaborate"": 1788840494.72, ""simulate"": 1788840500.37}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,5,178173,45.4,124.7,"STUDY RESULT TIMEOUT after 20001 cycles, 8 of 128 outputs seen","{""synthesise"": 1788840648.76, ""compile"": 1788840652.64, ""elaborate"": 1788840661.95, ""simulate"": 1788840670.46}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,6,218565,48.0,122.3,STUDY RESULT CORRECT,"{""synthesise"": 1788840821.97, ""compile"": 1788840825.84, ""elaborate"": 1788840835.22, ""simulate"": 1788840840.71}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,7,269068,211.8,4.9,STUDY BUILD FAIL synthesis,"{""synthesise"": 1788841057.39}"
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,8,317380,40.8,114.7,STUDY RESULT CORRECT,"{""synthesise"": 1788841194.84, ""compile"": 1788841198.66, ""elaborate"": 1788841207.76, ""simulate"": 1788841212.86}"
moonshotai_kimi-k3__rtl,moonshotai/kimi-k3,rtl,1,54061,221.7,11.3,STUDY RESULT CORRECT,"{""elaborate"": 1788826564.28, ""simulate"": 1788826569.76}"
moonshotai_kimi-k3__rtl,moonshotai/kimi-k3,rtl,2,93615,34.9,10.9,STUDY RESULT CORRECT,"{""elaborate"": 1788826932.65, ""simulate"": 1788826937.69}"
moonshotai_kimi-k3__spmw,moonshotai/kimi-k3,spmw,1,48208,4797.0,121.3,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.3, ""synthesise"": 81.19, ""assemble"": 23.11, ""wrap"": 0.0, ""compile"": 3.32, ""elaborate_rtl"": 6.2, ""simulate"": 5.01}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,1,21990,158.0,140.9,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788841817.99, ""compile"": 1788841822.05, ""elaborate"": 1788841831.86, ""simulate"": 1788841837.75}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,2,45099,56.9,142.7,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788842017.86, ""compile"": 1788842021.88, ""elaborate"": 1788842031.37, ""simulate"": 1788842037.35}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,3,74041,52.2,319.0,"STUDY RESULT TIMEOUT after 20001 cycles, 36 of 128 outputs seen","{""synthesise"": 1788842384.76, ""compile"": 1788842389.38, ""elaborate"": 1788842401.5, ""simulate"": 1788842408.59}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,4,107797,44.0,329.2,"STUDY RESULT TIMEOUT after 20001 cycles, 64 of 128 outputs seen","{""synthesise"": 1788842758.99, ""compile"": 1788842763.44, ""elaborate"": 1788842775.19, ""simulate"": 1788842781.77}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,5,146641,25.5,240.7,"STUDY RESULT TIMEOUT after 20001 cycles, 64 of 128 outputs seen","{""synthesise"": 1788843024.8, ""compile"": 1788843029.17, ""elaborate"": 1788843041.25, ""simulate"": 1788843048.01}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,6,191121,25.3,240.5,"STUDY RESULT TIMEOUT after 20001 cycles, 17 of 128 outputs seen","{""synthesise"": 1788843289.84, ""compile"": 1788843294.29, ""elaborate"": 1788843306.68, ""simulate"": 1788843313.8}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,7,241089,25.4,210.9,"STUDY RESULT TIMEOUT after 20001 cycles, 64 of 128 outputs seen","{""synthesise"": 1788843527.87, ""compile"": 1788843532.1, ""elaborate"": 1788843543.39, ""simulate"": 1788843550.08}"
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,8,296563,26.9,5.1,STUDY BUILD FAIL synthesis,"{""synthesise"": 1788843582.07}"
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,1,24739,127.4,3.6,STUDY BUILD FAIL elaborate,{}
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,2,54932,35.8,12.0,STUDY RESULT   WRONG,"{""elaborate"": 1788841731.97, ""simulate"": 1788841737.61}"
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,3,118381,69.8,1.8,STUDY BUILD FAIL compile,{}
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,4,173396,32.0,12.0,STUDY RESULT CORRECT,"{""elaborate"": 1788841847.82, ""simulate"": 1788841853.23}"
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,5,264532,37.9,12.8,STUDY RESULT CORRECT,"{""elaborate"": 1788842285.11, ""simulate"": 1788842291.08}"
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,6,368160,37.6,12.2,STUDY RESULT CORRECT,"{""elaborate"": 1788842714.02, ""simulate"": 1788842719.49}"
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,7,484395,43.4,12.2,STUDY RESULT CORRECT,"{""elaborate"": 1788843139.63, ""simulate"": 1788843145.29}"
openai_gpt-5_6-sol__spmw,openai/gpt-5.6-sol,spmw,1,13617,63.7,125.4,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.37, ""synthesise"": 83.36, ""assemble"": 23.5, ""wrap"": 0.0, ""compile"": 3.58, ""elaborate_rtl"": 6.66, ""simulate"": 5.64}"
openai_gpt-5_6-sol__spmw,openai/gpt-5.6-sol,spmw,2,29119,60.9,127.3,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.33, ""synthesise"": 84.6, ""assemble"": 24.05, ""wrap"": 0.0, ""compile"": 3.58, ""elaborate_rtl"": 6.72, ""simulate"": 5.68}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,1,35626,1321.6,147.3,"STUDY RESULT TIMEOUT after 20001 cycles, 64 of 128 outputs seen","{""synthesise"": 1788841582.86, ""compile"": 1788841586.92, ""elaborate"": 1788841597.26, ""simulate"": 1788841603.21}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,2,57330,31.1,220.4,STUDY RESULT CORRECT,"{""synthesise"": 1788841833.88, ""compile"": 1788841838.02, ""elaborate"": 1788841849.13, ""simulate"": 1788841854.71}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,3,120924,363.8,181.9,STUDY RESULT   WRONG,"{""synthesise"": 1788842376.47, ""compile"": 1788842380.8, ""elaborate"": 1788842394.01, ""simulate"": 1788842400.48}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,4,187158,329.8,353.7,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788843059.12, ""compile"": 1788843063.71, ""elaborate"": 1788843077.28, ""simulate"": 1788843084.01}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,5,235520,99.1,171.6,"STUDY RESULT TIMEOUT after 20001 cycles, 16 of 128 outputs seen","{""synthesise"": 1788843331.79, ""compile"": 1788843335.88, ""elaborate"": 1788843348.2, ""simulate"": 1788843354.74}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,6,301409,204.0,362.0,STUDY RESULT CORRECT,"{""synthesise"": 1788843897.6, ""compile"": 1788843901.93, ""elaborate"": 1788843915.27, ""simulate"": 1788843920.74}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,7,376918,205.5,255.1,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788844357.78, ""compile"": 1788844361.96, ""elaborate"": 1788844374.48, ""simulate"": 1788844381.34}"
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,8,478484,361.1,162.9,STUDY RESULT CORRECT,"{""synthesise"": 1788844885.0, ""compile"": 1788844889.01, ""elaborate"": 1788844900.0, ""simulate"": 1788844905.34}"
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,1,32711,142.3,13.8,"STUDY RESULT TIMEOUT after 20001 cycles, 16 of 128 outputs seen","{""elaborate"": 1788841764.7, ""simulate"": 1788841770.53}"
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,2,132295,592.4,13.8,STUDY RESULT CORRECT,"{""elaborate"": 1788842371.19, ""simulate"": 1788842376.67}"
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,3,192981,21.6,14.0,STUDY RESULT CORRECT,"{""elaborate"": 1788842788.95, ""simulate"": 1788842794.39}"
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,4,267666,25.2,14.5,STUDY RESULT CORRECT,"{""elaborate"": 1788843188.38, ""simulate"": 1788843193.93}"
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,5,361780,810.0,14.3,STUDY RESULT CORRECT,"{""elaborate"": 1788844374.75, ""simulate"": 1788844380.45}"
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,1,20867,151.0,123.7,"STUDY RESULT TIMEOUT after 20001 cycles, 64 of 128 outputs seen","{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.36, ""synthesise"": 82.51, ""assemble"": 23.18, ""wrap"": 0.0, ""compile"": 3.45, ""elaborate_rtl"": 6.26, ""simulate"": 5.55}"
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,2,38779,112.7,1.5,STUDY BUILD FAIL generate,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 0.18}"
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,3,55019,22.2,124.6,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.27, ""synthesise"": 83.36, ""assemble"": 23.76, ""wrap"": 0.0, ""compile"": 3.5, ""elaborate_rtl"": 6.41, ""simulate"": 5.15}"
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,4,135733,1114.7,139.6,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.62, ""synthesise"": 94.69, ""assemble"": 25.59, ""wrap"": 0.01, ""compile"": 3.78, ""elaborate_rtl"": 6.87, ""simulate"": 5.51}"
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,5,182724,448.4,130.6,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.14, ""synthesise"": 86.35, ""assemble"": 24.44, ""wrap"": 0.0, ""compile"": 3.59, ""elaborate_rtl"": 6.49, ""simulate"": 7.09}"
