package,experiment,run_id,experiment_id,system,workload,size,mode,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,tokens_checked,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,achieved_ns,hls_wall_s,hls_sum_job_s,vivado_total_s,synth_s,place_s,route_s,unrouted,roles,instances,report_paths,failure_reason,numeric_semantics,array_shape,steady_interval_cycles,total_wall_s,axi_masters,axi_width_bits,autosa_command,variant,tiles_per_launch,tile_interval_cycles,launch_interval_cycles,last_output_cycles,first_output_cold_cycles,completion_cold_cycles,cosim_latency_min,cosim_latency_avg,cosim_latency_max,cosim_interval_min,cosim_interval_avg,cosim_interval_max,cosim_wall_s,vcd_wall_s,top_port_bits,numeric_validation,provenance,notes,vivado_synth_s,source_agent,build_dir,build_state,collected_at,run_total_wall_s,gen_s,csim_s,cosim_s,export_s,wrapper_synth_s,opt_s,phys_opt_s,cosim_total_cycles,cosim_latency_cold_launch0,cosim_interval_cold_launch0,vcd_latency_warm,vcd_first_output_cold_launch0,vcd_latency_cold_launch0,vcd_last_output_warm,output_beats_per_launch,first_output_method,hls_est_period_ns,hls_est_latency_cycles,hls_est_lut,hls_est_ff,hls_est_dsp,hls_est_bram18k,hls_est_uram,cp_post_synth_ns,cp_post_impl_ns,timing_met,nets_with_routing_errors,srl,clb,pe_count,tiles_folded,output_stationary,tb_seed_results,axi_data_widths,transforms_streamed,interface,unroll_factor,transform_size,config,ordering,stimulus,seeds,transforms_completed,max_abs_error,max_norm_error,run_by,reps,launches_per_block,device_kernel_s_mean,device_kernel_s_best,transfer_s_mean,pack_s_mean,host_math_s_mean,wall_s_mean,hybrid,array_size,weight_mode,reorder_program,tiles,cycles_per_tile,source,design,workers,projects,repetitions,completed_jobs,timed_out_repetitions,completed_jobs_when_timed_out,timeout_s,frontend_s_median,hls_wall_s_median,hls_wall_s_min,hls_wall_s_max,hls_sum_job_elapsed_s_median,cpu_s_median,load_start,M,d,groups,dsp_count,cycles_per_query_row,kind,in_paper_table,hls_design_lines,spmw_design_lines,ratio_design,hls_config_lines,spmw_config_lines,hls_test_lines,spmw_test_lines
e1_gemm/spmw,E1,S8_memcosim,E1,SPMW (gemm8),"8x8 int8 OS GEMM, one tile",8,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,83.9,463.8,,,,,,9,64,reports/S8_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S8_pnr,E1,SPMW (gemm8),"8x8 int8 OS GEMM, one tile",8,pnr,pnr_ooc,300,pass,,,,,2225,4301,64,0,0,0,0,0.996,0.0,2.337,84.5,387.5,461.9,105.572,213.828,96.567,0,9,64,reports/S8_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S16_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","16x16 int8 OS GEMM, memory-fed",16,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,144.6,890.7,,,,,,15,288,reports/S16_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S16_memsim,E1,"SPMW (autosa-shaped, memory-connected)","16x16 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",16,memsim,kernel_sim_axi_ram,300,pass,True,,152,1024,,,,,,,,,,,225.8,,,,,,,,,reports/S16_memsim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S16_pnr,E1,"SPMW (autosa-shaped, memory-connected)","16x16 int8 OS GEMM, memory-fed",16,pnr,pnr_ooc,300,pass,,,,,32756,40732,256,0,0,0,0,0.541,0.0,2.792,105.4,788.6,2055.4,607.052,759.435,534.179,0,15,288,reports/S16_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S32_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","32x32 int8 OS GEMM, memory-fed",32,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,179.4,1123.5,,,,,,15,1088,reports/S32_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S32_memsim,E1,"SPMW (autosa-shaped, memory-connected)","32x32 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",32,memsim,kernel_sim_axi_ram,300,pass,True,,298,4096,,,,,,,,,,,215.6,,,,,,,,,reports/S32_memsim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S32_pnr,E1,"SPMW (autosa-shaped, memory-connected)","32x32 int8 OS GEMM, memory-fed",32,pnr,pnr_ooc,300,pass,,,,,137741,163708,1024,0,0,0,0,0.529,0.0,2.804,110.6,820.8,5247.1,2096.311,1093.217,1650.341,0,15,1088,reports/S32_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S4_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","4x4 int8 OS GEMM, memory-fed",4,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,124.5,765.2,,,,,,15,24,reports/S4_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S4_memsim,E1,"SPMW (autosa-shaped, memory-connected)","4x4 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",4,memsim,kernel_sim_axi_ram,300,pass,True,,66,64,,,,,,,,,,,216.4,,,,,,,,,reports/S4_memsim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S4_pnr,E1,"SPMW (autosa-shaped, memory-connected)","4x4 int8 OS GEMM, memory-fed",4,pnr,pnr_ooc,300,pass,,,,,1867,2516,16,0,0,0,0,1.301,0.0,2.032,91.8,687.4,335.3,92.413,171.93,35.731,0,15,24,reports/S4_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S8_memcosim,E1,"SPMW (autosa-shaped, memory-connected)","8x8 int8 OS GEMM, memory-fed",8,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,131.2,807.0,,,,,,15,80,reports/S8_memcosim,the out-of-context array testbench drives streams and has no AXI memory model; memory-mapped movers are simulated at kernel level (spmw_kernel_sim.py) and validated on the board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S8_memsim,E1,"SPMW (autosa-shaped, memory-connected)","8x8 int8 OS GEMM, memory-fed; kernel with 3 AXI masters",8,memsim,kernel_sim_axi_ram,300,pass,True,,100,256,,,,,,,,,,,221.9,,,,,,,,,reports/S8_memsim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw_mem,E1,S8_pnr,E1,"SPMW (autosa-shaped, memory-connected)","8x8 int8 OS GEMM, memory-fed",8,pnr,pnr_ooc,300,pass,,,,,8015,10220,64,0,0,0,0,1.232,0.0,2.101,99.0,737.4,531.4,163.424,237.592,75.761,0,15,80,reports/S8_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/autosa,E1,autosa_mm4i8z_cosim,E1,AutoSA,16x16x16,,,cosim,300,pass,true,63,788,,,,,,,,,,,,85.53,,,,,,,,,reports/autosa_mm4i8z_cosim/,,int8xint8->int32,4x4,47,185.159475171,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[4,4,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/simd_info.json --hls",cinit,16,47,815,782,63,788,813,825,850,813,831,850,67.400529433,32.228945738,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","steady_interval_cycles = median spacing of the 16 tiles' gmem_C drain bursts within a launch (VCD; min/max 42/47); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 813/825/850 includes the testbench's control transactions; AutoSA's own testbench (rand()%8 operands, one launch) gave latency 850 in the previous agent's cosim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/autosa,E1,autosa_mm4i8z_pnr_ooc,E1,AutoSA,16x16x16,,,pnr_ooc,300,pass,true,63,788,,8129,17481,16,9,4,1,0,0.536,0.0,,85.53,,,352.626,339.267,91.939,0,,,reports/autosa_mm4i8z_pnr_ooc/,,int8xint8->int32,4x4,47,864.699521351,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[4,4,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm4i8z/simd_info.json --hls",cinit,16,47,815,782,63,788,813,825,850,813,831,850,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)","stage times: synth 352.626, opt 21.004, place 339.267, physopt 5.417, route 91.939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/autosa,E1,autosa_mm8i8z_cosim,E1,AutoSA,16x16x16,,,cosim,300,pass,true,69,795,,,,,,,,,,,,389.89,,,,,,,,,reports/autosa_mm8i8z_cosim/,,int8xint8->int32,8x8,183,610.976057636,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[8,8,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/simd_info.json --hls",cinit,4,183,815,789,69,795,813,825,850,813,831,850,151.33040238,69.755655256,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","steady_interval_cycles = median spacing of the 4 tiles' gmem_C drain bursts within a launch (VCD; min/max 178/183); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 813/825/850 includes the testbench's control transactions; AutoSA's own testbench (rand()%8 operands, one launch) gave latency 850 in the previous agent's cosim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/autosa,E1,autosa_mm8i8z_pnr_ooc,E1,AutoSA,16x16x16,,,pnr_ooc,300,pass,true,69,795,,19755,38762,64,9,4,1,0,0.331,0.0,,389.89,,,508.325,429.54,117.616,0,,,reports/autosa_mm8i8z_pnr_ooc/,,int8xint8->int32,8x8,183,1146.718623294,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[8,8,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm8i8z/simd_info.json --hls",cinit,4,183,815,789,69,795,813,825,850,813,831,850,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57)","stage times: synth 508.325, opt 31.777, place 429.54, physopt 8.965, route 117.616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/autosa,E1,autosa_mm16i8z_cosim,E1,AutoSA,16x16x16,,,cosim,300,pass,true,71,797,,,,,,,,,,,,2169.64,,,,,,,,,reports/autosa_mm16i8z_cosim/,,int8xint8->int32,16x16,824,3607.869083666,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[16,16,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/simd_info.json --hls",cinit,1,,824,791,71,797,822,834,859,822,840,859,1193.139056067,245.090027599,1351,"numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","AutoSA generation + csynth: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); its P&R (lane B) finished 22:57 during this agent's session; numpy 3-seed cosim + VCD: this agent (np/ lanes, 2026-09-06 22:55 onwards)","one tile per launch: steady_interval_cycles = launch-to-launch interval of the kernel's ap_start (VCD, includes the testbench's AXI-lite re-arm); cycle columns from the VCD (kernel ap_start rise .. ap_done, steady launch 2); cosim report latency min/avg/max 822/834/859 includes the testbench's control transactions; AutoSA's own testbench (rand()%8 operands, one launch) gave latency 859 in the previous agent's cosim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/autosa,E1,autosa_mm16i8z_pnr_ooc,E1,AutoSA,16x16x16,,,pnr_ooc,300,pass,true,71,797,,47434,81265,256,9,4,1,0,0.455,0.0,,2169.64,,,666.971,490.951,298.192,0,,,reports/autosa_mm16i8z_pnr_ooc/,,int8xint8->int32,16x16,824,1606.334213838,3,gmem_A=128;gmem_B=128;gmem_C=32,"./autosa /scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/kernel.c --config=./autosa_config/autosa_config.json --target=autosa_hls_c --output-dir=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/out --sa-sizes={kernel[]->space_time[3];kernel[]->array_part[16,16,16];kernel[]->latency[1,1];kernel[]->simd[1]} --simd-info=/scratch/hc676/e1_autosa_2026-09-06/gen/mm16i8z/simd_info.json --hls",cinit,1,,824,791,71,797,822,834,859,822,840,859,,,1351,"same RTL as the cosim row: numpy int32 reference, seeds 0/1/2, mixed-sign int8 with -128/127 pinned, exact compare of every output in the RTL post-check","RTL (csynth) and P&R: previous agent (workspace lanes A/B, 2026-09-06 20:28-22:57); its P&R (lane B) finished 22:57 during this agent's session","stage times: synth 666.971, opt 68.155, place 490.951, physopt 15.593, route 298.192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
