run_id,experiment_id,system,workload,numeric_semantics,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,transforms_streamed,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,synth_s,place_s,route_s,total_wall_s,interface,unroll_factor,report_paths,failure_reason,transform_size,config,ordering,stimulus,seeds,transforms_completed,cosim_wall_s,max_abs_error,max_norm_error,run_by,notes
allo-strided_n256_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,63849,63822.0,4,,,,,,,,,,,370,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n256_raw_cosim,allo/validation/allo-strided_n256_raw_cosim",,256,strided_fft FFT_SIZE=256 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,9.707e-06,1.273e-07,previous_agent,"Vitis cosim transaction report: per-call latency [63849, 63807, 63807, 63807] (ap_start to ap_done via s_axi_control), call intervals [63850, 63808, 63808]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n256_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","256-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,5003,8009,20,6,0,6,0,0.571,0.0,0,370,132,204,38,423,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,allo/reports/allo-strided_n256_raw_pnr,,256,strided_fft FFT_SIZE=256 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 12 s, phys_opt 2 s; 0 failing of 18246 endpoints; WHS 0.021 ns; routable nets 11896, routing errors 0"
allo-strided_n256_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256-point radix-2 complex FFT; 6 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,26261,26220.0,6,,,,,,,,,,,200,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n256_wrap_cosim,allo/validation/allo-strided_n256_wrap_cosim",,256,strided_fft FFT_SIZE=256 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","numpy.random.RandomState seeds 0/1/2, re,im ~ U[-1,1) float32; 6 transforms = 2 per seed","0,1,2",6,,4.959e-06,1.527e-07,this_agent,"Vitis cosim transaction report: per-call latency [26261, 26219, 26219, 26219, 26219, 26219] (ap_start to ap_done via s_axi_control), call intervals [26262, 26220, 26220, 26220, 26220]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); per seed: seed 0: pass (2 transforms, max abs err 3.78e-06), seed 1: pass (2 transforms, max abs err 3.89e-06), seed 2: pass (2 transforms, max abs err 4.96e-06); RTL outputs compared in bit-reversed index order"
allo-strided_n256_wrap_cosim_lcg,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",256-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,26261,26234.0,4,,,,,,,,,,,291,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n256_wrap_cosim_lcg,allo/validation/allo-strided_n256_wrap_cosim_lcg",,256,strided_fft FFT_SIZE=256 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,9.707e-06,1.273e-07,previous_agent,"Vitis cosim transaction report: per-call latency [26261, 26219, 26219, 26219] (ap_start to ap_done via s_axi_control), call intervals [26262, 26220, 26220]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n256_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","256-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4422,7646,16,10,2,6,0,0.671,0.0,0,291,139,217,40,445,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,allo/reports/allo-strided_n256_wrap_pnr,,256,strided_fft FFT_SIZE=256 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 13 s, phys_opt 1 s; 0 failing of 17850 endpoints; WHS 0.019 ns; routable nets 11246, routing errors 0"
allo-strided_n512_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,145772,145745.0,4,,,,,,,,,,,554,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n512_raw_cosim,allo/validation/allo-strided_n512_raw_cosim",,512,strided_fft FFT_SIZE=512 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,1.453e-05,1.330e-07,previous_agent,"Vitis cosim transaction report: per-call latency [145772, 145730, 145730, 145730] (ap_start to ap_done via s_axi_control), call intervals [145773, 145731, 145731]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n512_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","512-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4948,8015,20,6,0,6,0,0.665,0.0,0,554,129,191,38,405,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,allo/reports/allo-strided_n512_raw_pnr,,512,strided_fft FFT_SIZE=512 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 12 s, phys_opt 1 s; 0 failing of 18258 endpoints; WHS 0.021 ns; routable nets 11897, routing errors 0"
allo-strided_n512_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512-point radix-2 complex FFT; 6 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,58808,58767.0,6,,,,,,,,,,,308,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n512_wrap_cosim,allo/validation/allo-strided_n512_wrap_cosim",,512,strided_fft FFT_SIZE=512 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","numpy.random.RandomState seeds 0/1/2, re,im ~ U[-1,1) float32; 6 transforms = 2 per seed","0,1,2",6,,7.142e-06,1.429e-07,this_agent,"Vitis cosim transaction report: per-call latency [58808, 58766, 58766, 58766, 58766, 58766] (ap_start to ap_done via s_axi_control), call intervals [58809, 58767, 58767, 58767, 58767]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); per seed: seed 0: pass (2 transforms, max abs err 6.90e-06), seed 1: pass (2 transforms, max abs err 6.38e-06), seed 2: pass (2 transforms, max abs err 7.14e-06); RTL outputs compared in bit-reversed index order"
allo-strided_n512_wrap_cosim_lcg,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",512-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,58808,58781.0,4,,,,,,,,,,,463,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n512_wrap_cosim_lcg,allo/validation/allo-strided_n512_wrap_cosim_lcg",,512,strided_fft FFT_SIZE=512 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,1.453e-05,1.330e-07,previous_agent,"Vitis cosim transaction report: per-call latency [58808, 58766, 58766, 58766] (ap_start to ap_done via s_axi_control), call intervals [58809, 58767, 58767]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n512_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","512-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4316,7542,16,12,2,8,0,0.694,0.0,0,463,131,194,35,409,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,allo/reports/allo-strided_n512_wrap_pnr,,512,strided_fft FFT_SIZE=512 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 13 s, phys_opt 2 s; 0 failing of 16588 endpoints; WHS 0.021 ns; routable nets 11141, routing errors 0"
